datetime,open,high,low,close,volume
2023-03-30 15:00:00,20.631,20.678,20.45,20.521,900048
2023-03-30 16:00:00,20.521,20.521,20.2,20.368,1435688
2023-03-30 17:00:00,20.368,20.42,20.129,20.346,1302078
2023-03-30 18:00:00,20.346,20.416,20.256,20.396,537478
2023-03-30 19:00:00,20.397,20.505,20.371,20.48,496065
2023-03-30 20:00:00,20.48,20.708,20.423,20.646,673797
2023-03-30 21:00:00,20.646,20.68,20.52,20.543,279499
2023-03-30 22:00:00,20.543,20.563,20.361,20.412,517854
2023-03-30 23:00:00,20.411,20.557,20.37,20.543,355342
2023-03-31 00:00:00,20.542,20.631,20.425,20.568,606628
2023-03-31 01:00:00,20.57,20.74,20.527,20.585,706682
2023-03-31 02:00:00,20.587,20.621,20.483,20.511,388493
2023-03-31 03:00:00,20.512,20.567,20.454,20.513,290002
2023-03-31 04:00:00,20.513,20.576,20.436,20.552,341250
2023-03-31 05:00:00,20.552,20.612,20.373,20.431,449594
2023-03-31 06:00:00,20.431,20.459,20.306,20.367,505670
2023-03-31 07:00:00,20.367,20.407,20.01,20.288,1257254
2023-03-31 08:00:00,20.289,20.374,20.21,20.276,522956
2023-03-31 09:00:00,20.277,20.348,20.207,20.268,452243
2023-03-31 10:00:00,20.268,20.414,20.234,20.312,526974
2023-03-31 11:00:00,20.312,20.383,20.265,20.31,343190
2023-03-31 12:00:00,20.311,20.491,20.206,20.458,1179804
2023-03-31 13:00:00,20.458,20.751,20.432,20.635,1362175
2023-03-31 14:00:00,20.635,20.917,20.635,20.875,1161008
2023-03-31 15:00:00,20.875,20.985,20.736,20.858,898798
2023-03-31 16:00:00,20.857,20.984,20.786,20.972,643093
2023-03-31 17:00:00,20.972,21.008,20.684,20.744,754230
2023-03-31 18:00:00,20.744,20.824,20.68,20.766,479217
2023-03-31 19:00:00,20.767,20.991,20.743,20.973,660437
2023-03-31 20:00:00,20.973,20.99,20.826,20.844,383707
2023-03-31 21:00:00,20.843,21.037,20.821,21.004,337133
2023-03-31 22:00:00,21.003,21.486,20.973,21.384,1202916
2023-03-31 23:00:00,21.384,21.4,21.137,21.161,534924
2023-04-01 00:00:00,21.16,21.305,21.093,21.169,426261
2023-04-01 01:00:00,21.168,21.211,21.0,21.207,520452
2023-04-01 02:00:00,21.208,21.344,20.907,20.992,744654
2023-04-01 03:00:00,20.992,21.055,20.941,21.017,253998
2023-04-01 04:00:00,21.017,21.272,21.009,21.2,433271
2023-04-01 05:00:00,21.2,21.231,21.041,21.138,323386
2023-04-01 06:00:00,21.137,21.144,20.826,21.012,511541
2023-04-01 07:00:00,21.011,21.078,20.884,21.007,353054
2023-04-01 08:00:00,21.008,21.057,20.916,20.995,323043
2023-04-01 09:00:00,20.995,21.045,20.95,21.023,234055
2023-04-01 10:00:00,21.023,21.101,20.968,21.068,345060
2023-04-01 11:00:00,21.069,21.111,20.944,21.016,406503
2023-04-01 12:00:00,21.015,21.066,20.963,21.01,280162
2023-04-01 13:00:00,21.01,21.09,21.0,21.065,362833
2023-04-01 14:00:00,21.064,21.07,20.86,20.883,521656
2023-04-01 15:00:00,20.884,20.988,20.85,20.952,370728
2023-04-01 16:00:00,20.954,21.038,20.73,20.833,648702
2023-04-01 17:00:00,20.834,20.942,20.812,20.898,460026
2023-04-01 18:00:00,20.898,20.964,20.875,20.943,317949
2023-04-01 19:00:00,20.944,20.966,20.869,20.936,254936
2023-04-01 20:00:00,20.935,21.132,20.932,21.035,539070
2023-04-01 21:00:00,21.036,21.099,21.019,21.051,208588
2023-04-01 22:00:00,21.05,21.197,21.043,21.152,318741
2023-04-01 23:00:00,21.153,21.224,21.033,21.079,269229
2023-04-02 00:00:00,21.079,21.146,20.901,20.906,346355
2023-04-02 01:00:00,20.905,21.02,20.868,20.931,258604
2023-04-02 02:00:00,20.931,20.986,20.875,20.946,220793
2023-04-02 03:00:00,20.945,21.053,20.914,21.018,205763
2023-04-02 04:00:00,21.017,21.034,20.912,20.922,202771
2023-04-02 05:00:00,20.922,21.034,20.915,21.014,159569
